"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0B4J1V2","NaN","183110.6563","NaN","NaN","242229.29689999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","164221.9063","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","159874.6563","NaN"
"A0A0B4J1X5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","220469.125","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0C4DH25;P01619","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A0C4DH29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100727.9375","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","418669.3125","NaN","NaN","NaN","NaN"
"A0A5B9","NaN","NaN","431867.46879999997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","197341.76560000001","346260.5625","371505.09379999997","NaN","494497.65629999997","NaN","NaN","495059.75","NaN","NaN","NaN","621389.625","NaN","NaN","NaN"
"A0AVT1","277720.71879999997","119249.77340000001","157762.26560000001","138157.8125","147756.75","270993.46879999997","208828.79689999999","200601.07810000001","123065.58590000001","265022.46879999997","205514.8438","178964.26560000001","749138.9375","212550.5313","190743.73439999999","114561.83590000001","189490.1875","182488.39060000001","195142.79689999999","170977.125","219029.1875","183305.0938","379699.71879999997","103610.21090000001","163779.07810000001","249428.23439999999","274103.375","268701.09379999997","280641.125","363112.8125","281340.8125","194724.0313","367638.25","128670.85159999999","184205","116426.2656","235185.98439999999"
"A0FGR8","311902.34379999997","160218.5938","245644.7813","146430.92189999999","192510","675804.75","361216.5625","412163.75","320685.46879999997","425310.9375","206805.6875","252427.82810000001","2048070.625","173328.48439999999","265437.0625","87937.421879999994","218250.4063","213269.29689999999","142503.73439999999","285473.5","345559.9375","308182.59379999997","313776.46879999997","245718.625","233146.4688","292640.53129999997","446771.21879999997","104536.9063","596081.5","275567.90629999997","189714.4688","84502.421879999994","279630.3125","335732.0625","201290.89060000001","177448.25","432691.625"
"A0JLT2","NaN","22555.335940000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","34538.085939999997","NaN","13276.172850000001","NaN","NaN","NaN","39599.519529999998","NaN","NaN","30489.71875","39819.878909999999","NaN","26942.542969999999","NaN","39944.691409999999","NaN","32236.320309999999","NaN","19225.816409999999","NaN","NaN","NaN","NaN","36613.976560000003"
"A1L020","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A1L020;Q5U5Q3;Q6ZN04;Q86XN8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A1L0T0","418707.9375","17262.833979999999","82416.476559999996","154867.01560000001","56495.410159999999","160122.42189999999","219011.0938","217750.64060000001","404187.8125","126556.07030000001","204091.20310000001","137469.0938","2285098.75","211815.0625","15805.2793","NaN","235177.64060000001","16142.86426","NaN","425721.4375","NaN","136466.6875","180564.4375","105215.71090000001","5992.6264650000003","194576.75","NaN","NaN","701761","271980.9375","631176","166019.75","598574.5625","NaN","218581.1875","NaN","79483.578129999994"
"A1L4K1","NaN","NaN","NaN","NaN","NaN","9570.2978519999997","NaN","NaN","70753.804690000004","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12261.337890000001","NaN","NaN","NaN","NaN","10880.418949999999","NaN","NaN","34235.570310000003","NaN","NaN","NaN","NaN"
"A1X283","NaN","48587.550779999998","NaN","NaN","45169.660159999999","48672.742189999997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","42545.59375","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","15468.535159999999","NaN","NaN","NaN","NaN","NaN","42755.28125","NaN"
"A2A288","122642.7031","NaN","NaN","NaN","NaN","88235.1875","96063.078129999994","120240.3281","46738.417970000002","122668.2031","116553.60159999999","NaN","NaN","114112.9219","65026.457029999998","NaN","127400.0938","99999.929690000004","NaN","86792.273440000004","174146.29689999999","99957.054690000004","NaN","NaN","NaN","108568.63280000001","NaN","NaN","219891.60939999999","NaN","145836","99409.625","77932.234379999994","NaN","NaN","NaN","100365.53909999999"
"A2RRP1","73874.96875","30104.128909999999","69775.007809999996","112864.75780000001","45703.914060000003","106497.64840000001","21831.123049999998","43917.316409999999","78002.742190000004","30654.40625","33238.246090000001","4054.9047850000002","NaN","15250.98242","24749.140630000002","48500.433590000001","37626.21875","40653.824220000002","56413.332029999998","26818.847659999999","127774.625","35372.730470000002","47626.800779999998","22979.265630000002","51152.644529999998","34278.246090000001","58709.011720000002","12913.396479999999","186654.57810000001","53215.191409999999","64151.148439999997","36184.527340000001","96754.023440000004","122340.74219999999","33095.519529999998","61115.84375","80123.132809999996"
"A2RTX5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A2RUS2","72307.320309999996","8275.3583980000003","460696.78129999997","36468.167970000002","12515.40137","59603.828130000002","158899.48439999999","14333.74805","107151.49219999999","38402.09375","34790.753909999999","30439.847659999999","NaN","62464.25","90526.90625","7880.5932620000003","92202.351559999996","86729.570309999996","60648.179689999997","126745.6094","48089.644529999998","15894.289059999999","79268.585940000004","194565.6563","121033.125","130331.00780000001","NaN","NaN","172613.45310000001","213260.2188","107102.7656","90250.992190000004","40954.964840000001","446864.59379999997","35582.140630000002","13685.07422","103192.5625"
"A2VDJ0","56682.230470000002","55398.953130000002","NaN","NaN","50978.558590000001","NaN","NaN","49775.609380000002","NaN","37345.859380000002","36940.679689999997","NaN","NaN","41281.503909999999","NaN","77135.882809999996","NaN","69222.890629999994","72435.851559999996","27511.943360000001","76549.140629999994","46330.40625","NaN","NaN","NaN","23438.98633","19717.738280000001","NaN","NaN","21265.195309999999","21013.273440000001","47750.394529999998","160648.39060000001","NaN","NaN","NaN","13673.66504"
"A3KMH1","NaN","194790.0625","57629.097659999999","NaN","66258.539059999996","51716.355470000002","27792.765630000002","117082.28909999999","NaN","NaN","NaN","NaN","NaN","NaN","33208.847659999999","120802.3125","NaN","37925.578130000002","NaN","8439.4365230000003","NaN","NaN","3071.8222660000001","269803.09379999997","30930.824219999999","22873.394530000001","NaN","51493.84375","123869.11719999999","NaN","66673.835940000004","28121.021479999999","NaN","NaN","19467.648440000001","60617.460939999997","88255.203129999994"
"A3KN83","58598.664060000003","39732.632810000003","66035.09375","NaN","46308.4375","42272.570310000003","40438.5","54893.425779999998","NaN","51774.882810000003","42694.453130000002","NaN","NaN","58565.617189999997","32091.472659999999","46480.691409999999","38384.050779999998","45440.375","NaN","35596.597659999999","78331.6875","43725.089840000001","36030.875","61200.449220000002","44159.496090000001","38585.285159999999","57767.609380000002","33859.375","119430.6094","38320.054689999997","57794.6875","49524.660159999999","86808.484379999994","99521.257809999996","35393.109380000002","50523.414060000003","46877.476560000003"
"A4D1E9","13167.0625","43020.015630000002","37681.546880000002","NaN","37690.09375","53184.726560000003","36011.253909999999","31720.910159999999","NaN","31860.015630000002","33645.332029999998","NaN","NaN","20641.710940000001","32162.724610000001","40686.414060000003","23639.541020000001","26542.984380000002","NaN","30097.417969999999","11667.22754","32402.521479999999","33538.824220000002","52647.128909999999","15651.434569999999","33389.90625","25158.73242","1316.016357","47699.214840000001","38220.363279999998","36996.316409999999","39009.417970000002","56065.871090000001","NaN","NaN","37212.289060000003","38723.335939999997"
"A4D1P6","56603.9375","NaN","32019.189450000002","NaN","23182.931639999999","77108.320309999996","39189.734380000002","47930.148439999997","57486.90625","63730.570310000003","38912.140630000002","NaN","NaN","51685.527340000001","NaN","25065.203130000002","49651.082029999998","NaN","NaN","45732.9375","60738.132810000003","56587.984380000002","NaN","31670.871090000001","NaN","NaN","NaN","NaN","86228.234379999994","NaN","60336.03125","31336.941409999999","95703.679690000004","34072.578130000002","NaN","NaN","49539.503909999999"
"A4D2P6","66758.054690000004","56247.460939999997","NaN","NaN","60020.53125","NaN","NaN","10014.469730000001","NaN","35374.855470000002","33513.875","NaN","NaN","21560.693360000001","18061.289059999999","58728.863279999998","6034.9877930000002","NaN","NaN","NaN","96566.695309999996","16757.529299999998","NaN","NaN","NaN","NaN","NaN","NaN","NaN","12648.60449","NaN","37616.15625","47527.148439999997","NaN","NaN","60936.75","NaN"
"A5YKK6","158573.7813","178439.0313","174906.4688","110414.17969999999","177750.0625","191324.64060000001","157880.23439999999","235277.20310000001","112845.71090000001","182123.0938","189842.9375","124196.32030000001","339389.96879999997","194969.0313","165538.0313","173844.1563","143328.5625","173752.125","150642.0938","150591.75","174000.5313","189071.375","190660.73439999999","149985.70310000001","174104.625","164666.375","202638.3125","122446.7344","217931.32810000001","134221.5938","153878.5938","162797.9688","334558.4375","159412.0938","133115.01560000001","175739.9688","141443.60939999999"
"A6NC98","73667","31808.349610000001","104775.6406","141023.5625","25581.962889999999","NaN","NaN","45667.589840000001","NaN","46860.609380000002","51730.0625","95192.492190000004","NaN","43001.003909999999","NaN","NaN","34724.128909999999","NaN","84186.3125","NaN","36408.148439999997","42476.738279999998","42352.453130000002","55269.316409999999","61715.125","38564.355470000002","56762.554689999997","NaN","56941.992189999997","63025.113279999998","45912.296880000002","NaN","NaN","75032.9375","87412.6875","80410.023440000004","NaN"
"A6NCC3;F8WBI6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A6NCE7;Q9GZQ8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A6NDG6","72881.609379999994","35301.804689999997","81973.0625","25207.144530000001","21564.203130000002","40377.292970000002","33918.335939999997","44073.472659999999","38048.726560000003","42368.703130000002","34018.480470000002","22684.181639999999","NaN","34539.367189999997","38049.121090000001","33160.886720000002","37055.277340000001","35715.667970000002","NaN","23299.976559999999","69371.078129999994","39643.242189999997","51924.632810000003","32943.859380000002","38525.03125","37956.886720000002","30204.347659999999","74178.4375","79466.023440000004","30278.255860000001","26236.525389999999","58238.164060000003","57238.867189999997","57300.601560000003","28940.546880000002","14037.313480000001","37715.132810000003"
"A6NDU8","10351.11816","36822.742189999997","6404.654297","NaN","12817.22559","7704.6684569999998","8038.8808589999999","9513.2314449999994","NaN","9271.0185550000006","3477.8178710000002","3709.0329590000001","NaN","5036.7841799999997","64858.882810000003","13496.51758","10004.79297","6111.2734380000002","NaN","7068.1176759999998","NaN","11454.191409999999","16527.072270000001","4390.5424800000001","9190.6416019999997","7350.8662109999996","10765.840819999999","24489.546880000002","NaN","14412.458979999999","6837.1372069999998","7693.0405270000001","12680.23242","NaN","6479.9741210000002","9891.9902340000008","15260.938480000001"
"A6NE01","77903.695309999996","290846.1875","142889.85939999999","NaN","319613.15629999997","161021.42189999999","110671.8125","99007.851559999996","NaN","140382.0625","113280.85159999999","NaN","NaN","91710.679690000004","125134.0156","404609.53129999997","187359.1875","286456.96879999997","NaN","195177.7188","186640.67189999999","158031.23439999999","638084.0625","247820.70310000001","176189","200860.89060000001","124604.35159999999","385620.34379999997","264408.03129999997","454110.375","188592.76560000001","343132.9375","214619.1563","131802.92189999999","126298.19530000001","463070.5","355697"
"A6NED2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A6NFI3","25732.654299999998","16934.287110000001","NaN","NaN","NaN","19948.21875","29992.261719999999","19802.261719999999","NaN","34405.523439999997","36420.640630000002","NaN","NaN","44898.53125","20853.886719999999","16556.572270000001","NaN","19948.574219999999","NaN","28610.09375","NaN","22103.26758","NaN","23899.056639999999","22290.210940000001","25561.597659999999","42107.402340000001","45047.464840000001","38085.480470000002","28070.617190000001","24665.210940000001","18958.460940000001","73227.351559999996","43347.191409999999","NaN","21120.128909999999","21784.501950000002"
"A6NHL2","241506.67189999999","178088.3438","165995.48439999999","126016.2813","297465.34379999997","110705.6406","199092.32810000001","200067.5313","NaN","82600.65625","166597.3125","143022.32810000001","NaN","184444.3438","160295.2813","170579.39060000001","NaN","85320.304690000004","98253.140629999994","NaN","NaN","132503.1563","104617.61719999999","NaN","47478.6875","101775.27340000001","120031.27340000001","107927.50780000001","NaN","102496.4375","75209.4375","55940.761720000002","NaN","NaN","NaN","153278.2188","37374.179689999997"
"A6NHR9","216104.45310000001","117492.97659999999","286450.75","240059.5","145790.76560000001","255219.23439999999","194605.2188","226352.70310000001","187775.9063","228799.45310000001","208979.10939999999","170683.9375","626905.8125","192791.375","164011.20310000001","117679.3594","222952.20310000001","116474.3125","254620.26560000001","217219.29689999999","159378.82810000001","204866.1875","180398.48439999999","245526.4375","195368.07810000001","171982.8125","267807.9375","141821.2813","254173.75","186044.67189999999","225354.3125","123291.92969999999","424030.15629999997","235872.0938","216406.64060000001","109133.74219999999","204082.0313"
"A6NHZ5","37459.742189999997","329681.59379999997","NaN","NaN","45932","NaN","NaN","NaN","NaN","17317.835940000001","26582.707030000001","NaN","NaN","31561.828130000002","NaN","27731.01367","NaN","NaN","NaN","NaN","43983.496090000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","46564.089840000001","NaN"
"A6NI28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A6NI72;P14598","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A6NIH7","55810.515630000002","99516.820309999996","39473.105470000002","186972.2813","70611.96875","128421.19530000001","154937.3438","56683.453130000002","72131.875","137643.7188","57606.171880000002","8239.9941409999992","NaN","43358.761720000002","125297.25","93503.796879999994","142491.8125","45614.617189999997","NaN","156693.6875","119637.3438","38117.242189999997","89834.882809999996","20457.886719999999","35014.140630000002","116215.42969999999","54931.867189999997","165647.95310000001","77218.804690000004","125063.66409999999","132448.3438","119455.4688","117624.86719999999","168172.14060000001","11327.058590000001","96422.757809999996","28535.658200000002"
"A6NJ78","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A8CG34","353516.21879999997","422804","410613.96879999997","NaN","620077","227763.92189999999","280930.40629999997","222391.0625","514700.96879999997","232615.875","131319.4688","NaN","NaN","108752.75780000001","402421.09379999997","NaN","NaN","NaN","NaN","NaN","242580.89060000001","NaN","NaN","633714.75","296772.65629999997","NaN","265642.875","398375.5","NaN","NaN","NaN","NaN","NaN","431827.9375","NaN","NaN","NaN"
"A8MPP1;Q92771","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A8MVS5","NaN","NaN","NaN","135656.98439999999","NaN","NaN","NaN","NaN","NaN","NaN","NaN","102639.1719","NaN","NaN","NaN","NaN","NaN","NaN","107401.6719","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","85469.835940000004","NaN","NaN"
"A8MVU1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","93618.5625","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A8MW92","60614.226560000003","27196.648440000001","59032.148439999997","42487.183590000001","52026.617189999997","94605.992190000004","60238.644529999998","88901.375","79083.8125","88967.992190000004","93439.796879999994","NaN","NaN","66041.328129999994","51925.179689999997","26298.035159999999","87030.953129999994","51801.148439999997","68654.210940000004","67889.65625","85602.304690000004","98122.484379999994","38635.242189999997","72435.820309999996","57991.0625","57624.859380000002","104983.55469999999","48089.714840000001","94068.59375","56567.796880000002","69527.59375","54469.695310000003","159417.9063","96831.171879999994","41243.472659999999","51568.894529999998","70383.609379999994"
"A8MWD9;P62308","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A8MXV4","9907.8369139999995","19795.386719999999","17861.746090000001","40538.21875","22353.34375","19598.630860000001","NaN","NaN","NaN","NaN","NaN","33782.496090000001","NaN","NaN","NaN","19633.009770000001","18316.08008","23782.310549999998","26798.878909999999","NaN","NaN","NaN","NaN","31630.79883","19418.390630000002","NaN","15064.14063","36719.054689999997","NaN","NaN","18500.841799999998","NaN","59671.230470000002","NaN","25237.978520000001","20560.853520000001","23849.242190000001"
"A9UHW6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"B0I1T2","206624.95310000001","45180.796880000002","702893.625","198659.8438","65441.960939999997","67999.875","99423.554690000004","415287.65629999997","133500.625","372024.3125","398950.6875","252855.82810000001","2790524.5","402217.15629999997","60093.460939999997","45349.171880000002","73043.898440000004","97253.648440000004","143836.64060000001","51263.238279999998","227394.1875","241075.01560000001","748719.375","761402.25","526649.75","81013.25","857338.625","60347.46875","228970.85939999999","625875.25","114428.7656","101747.25780000001","NaN","638047.5625","175486.20310000001","44954.21875","53099.226560000003"
"B7ZAQ6;P0CG08","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"C4AMC7;Q6VEQ5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"C9J798;O43374","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"C9J7I0","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"C9JLW8","83433.78125","79809.054690000004","70142.898440000004","35257.992189999997","55687.464840000001","102569.0469","97093.898440000004","137086.375","135913.5938","99661.15625","95209.234379999994","63353.507810000003","NaN","76135.40625","104109.1094","84551.71875","59324.234380000002","113649.2188","77046.742190000004","93685.757809999996","94158.210940000004","113912.38280000001","50269.5","107351.2656","103250.3281","102111.16409999999","117274.2188","185412","123429.7969","59696.964840000001","66019.773440000004","109998.27340000001","316936.21879999997","43048.878909999999","39760.949220000002","83843.265629999994","96994.085940000004"
"C9JRZ8","373341.21879999997","270394","533329.5","343290.5","518536.28129999997","544479.0625","360959.40629999997","361855.71879999997","592978.25","334264.75","323186.15629999997","402077.34379999997","NaN","381690.15629999997","187253.5625","531969.25","422893.375","373023.9375","404468.15629999997","418148.78129999997","299183.5","279153","457007.875","506729.25","253174.5313","309722.09379999997","457283.09379999997","344563.5","703920.875","279531.96879999997","427377.5","415117.0625","964754.125","368324.5","369134.875","621465.75","310893.90629999997"
"E9PAV3;Q13765","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"E9PRG8","278938.75","318847.40629999997","494037.1875","189098.89060000001","365838.71879999997","227303.07810000001","305154.8125","338475.65629999997","184123.5625","360301.8125","266383.875","251883.04689999999","4020718","258585.0625","206475.7188","355224.125","296879.71879999997","292185.78129999997","224943.45310000001","293405.90629999997","256553.75","299813.71879999997","109116.22659999999","533983.4375","293929.9375","252908.9688","507773.90629999997","302590.71879999997","447701.90629999997","202318.73439999999","354414.78129999997","273250.1875","635181.625","422589.1875","206913.07810000001","426903.8125","296269.3125"
"I3L1I5","19085.935549999998","17066.67383","NaN","NaN","17384.351559999999","NaN","NaN","12111.222659999999","NaN","74305.265629999994","10671.98242","NaN","NaN","19309.585940000001","NaN","22567.015630000002","16719.292969999999","16899.75","NaN","18978.595700000002","61442.109380000002","18200.992190000001","NaN","21751.199219999999","NaN","NaN","16579.628909999999","NaN","84911.390629999994","NaN","69508.34375","11927.49805","NaN","44018.382810000003","NaN","35530.671880000002","17785.800780000001"
"iRT-pep","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"L0R6Q1","133293.6563","31732.652340000001","181936.54689999999","193613.26560000001","4845.0039059999999","208537.70310000001","139559.51560000001","195698.79689999999","71586.351559999996","221944.10939999999","240449.9063","186437.5938","1812590.75","317404.5","162129.1875","NaN","149710.92189999999","118032.8281","99937.648440000004","109486.5156","149641.70310000001","177116.10939999999","101143.96090000001","145920.2813","97682.4375","174826.45310000001","97211.015629999994","152258.1563","240835.1875","100563.625","174496.3438","122434.7969","162516.0625","81645.851559999996","189818.9375","NaN","195823.25"
"L0R819","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"O00115","NaN","208015.9063","163134.0625","69012.007809999996","228411.625","96311.984379999994","108383.36719999999","69293.71875","NaN","124912.875","NaN","NaN","525009.5","147103.60939999999","207135.54689999999","NaN","NaN","NaN","89185.007809999996","103146.8125","51354.195310000003","77503.375","246397.6563","141031.8125","104702.58590000001","83441.710940000004","115559.07030000001","280624.65629999997","129702.55469999999","227343.1875","94667.507809999996","NaN","403446.65629999997","98597.570309999996","NaN","232185.1875","NaN"
"O00116","108146.8906","55402.253909999999","275208.28129999997","303940.5625","74396.3125","175660.67189999999","184494.25","154897.5938","236492.95310000001","166231.0625","141890.3125","340848.84379999997","1849442.75","130620.8438","60024.078130000002","77979.382809999996","199872.92189999999","48087.011720000002","303622.46879999997","155183.2813","33745.65625","101650.1875","264108.6875","259358.8125","128599.39840000001","164523.4375","167476.01560000001","162544.1875","202243.1875","267193.96879999997","124169.125","100178.80469999999","338660.15629999997","404931.5","226946.0313","55890.546880000002","154276.3438"
"O00139","139923.7188","115880.4063","157377.98439999999","61249.625","140282.8438","145500.17189999999","144550.5","157353.6875","108043.16409999999","141029.23439999999","178473.70310000001","79043.039059999996","5905937.5","154501.8438","125586.2344","118393.74219999999","134599.875","102512","102368.4531","122975.5469","165605.01560000001","141446.4375","153761.26560000001","134427.3438","101306.91409999999","124271.22659999999","184070.875","95424.71875","190860.5313","149041.9063","147042.85939999999","109362.35159999999","330605.375","155262.4688","96995.375","109915.4375","106898.17969999999"
"O00142","61694.925779999998","NaN","NaN","60959.988279999998","NaN","NaN","59013.34375","69295.375","NaN","102376.89840000001","63418.296880000002","83493.6875","NaN","69338.445309999996","51857.929689999997","NaN","53519.460939999997","NaN","88179.46875","51171.5625","NaN","66028.085940000004","NaN","NaN","NaN","56618.554689999997","57435.976560000003","NaN","NaN","NaN","NaN","48377.832029999998","NaN","NaN","66765.492190000004","NaN","57335.894529999998"
