"PG.ProteinAccessions","NT01","NT02","NT04","NT05","NT06","NT07","NT08","NT10","NT11","NT18","NT19","NT20","NT21","NT22","NT23","NT25","NT26","NT27","NT28","NT30","NT31","NT32","NT33","NT34","NT35","NT36","NT37","NT38","NT39","NT40","NT41","NT42","NT44","NT45","NT47","NT48","NT49"
"A0A075B6K0;P01717;P01718","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"A0A075B6K5;P80748","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
"P00846","523432.8125","115740.2969","510314.34379999997","375771.71879999997","205993.01560000001","226011.1563","242070.35939999999","494285.5625","177156.625","420385.25","261827.51560000001","376576.28129999997","NaN","352170.5","380933.28129999997","85224.375","229986.1875","181678.48439999999","214416.4375","172440.5625","154916.57810000001","271788","189413.39060000001","246064.73439999999","170860.95310000001","223188.8438","265307.78129999997","164249.35939999999","271529.3125","120911.8125","286601.375","163845.64060000001","545983.8125","NaN","301355.0625","106038.21090000001","258871.79689999999"
"P00915","36662.042970000002","1620.610107","NaN","3493328.5","48719.96875","NaN","259167.20310000001","NaN","NaN","32018.898440000001","NaN","593408.375","190073504","15356.48242","NaN","NaN","232540.17189999999","NaN","1080000.75","214635.14060000001","NaN","NaN","111942.94530000001","NaN","459303.1875","NaN","148405.1875","NaN","NaN","NaN","56503.433590000001","NaN","NaN","NaN","498393.8125","NaN","143792.67189999999"
"P00918","111700.27340000001","NaN","NaN","1596106.25","NaN","NaN","115397.3594","118705.11719999999","NaN","144750.7188","59399.554689999997","458944.5","65080404","69329.914059999996","NaN","NaN","155810.95310000001","24516.025389999999","679115.25","110759.47659999999","77924.539059999996","63604.214840000001","NaN","NaN","188535.1875","NaN","81080.640629999994","NaN","32613.25","NaN","68114.53125","NaN","NaN","NaN","456906.78129999997","NaN","127451.6719"
"P00966","NaN","200606.1563","NaN","155749.0938","198409","NaN","NaN","NaN","128108.125","NaN","290579.75","NaN","NaN","NaN","NaN","198894.04689999999","NaN","540835.5","188550.9688","27969.126950000002","43077.921880000002","NaN","1013074.75","16683.496090000001","91196.054690000004","62531.5","83665.335940000004","NaN","NaN","743789.5625","196594.0938","545763.6875","199567.32810000001","NaN","53716.535159999999","201934.8125","42348.058590000001"
"P00973","NaN","NaN","NaN","NaN","NaN","611682.5625","NaN","34493.214840000001","NaN","53965.367189999997","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32960.890630000002","NaN","NaN","NaN","37594.765630000002","13830.023440000001","NaN","NaN","NaN","NaN","NaN","NaN","NaN","80077.90625","36423.789060000003","NaN","NaN","NaN","NaN","230410.20310000001"
"P01008","718577.1875","184537.25","NaN","1139812.25","101479.80469999999","NaN","148910.25","353079.84379999997","389964.03129999997","256260.82810000001","131233.3125","940723.5625","2586319.5","368413.3125","83054.96875","182971.1875","218435.9688","4175.1816410000001","1704358.375","439026.78129999997","263619.875","264732.46879999997","330352.59379999997","NaN","1148067","5966.3549800000001","683505.875","99444.53125","471992.03129999997","800771.1875","115466.9844","96818.835940000004","186677.92189999999","103768.2813","725477.875","115843.60159999999","593932.125"
"P01009","500485.6875","766107.1875","2202097","568035.4375","1901772.125","544976.875","173321","727221.375","NaN","755134.4375","1694978.75","813781.1875","40418284","99561.3125","1302173.375","543712.5","105225.625","1791970.375","1014441.5","460838.9375","656333.375","NaN","731815","2017573.25","334939.9375","1295543.5","429797.4375","NaN","NaN","282066.34379999997","616853.375","638529.75","47807.597659999999","NaN","537808.5625","759098.3125","816326.125"
"P01011","140164.17189999999","NaN","NaN","214201.14060000001","NaN","NaN","212073.67189999999","NaN","NaN","343585.84379999997","NaN","474037.25","1917963.75","521645","NaN","NaN","340826.1875","NaN","2007832.375","471746.625","75227.601559999996","NaN","NaN","NaN","169082.57810000001","NaN","212317.29689999999","NaN","NaN","NaN","342807.625","NaN","NaN","NaN","377902.9375","NaN","555515.875"
"P01023","2340194","NaN","NaN","2402459.5","60347.046880000002","NaN","315233.5625","840663.875","954903.4375","206281.125","129524.6719","971105.625","3715846.5","1134934","30557.554690000001","NaN","491684.09379999997","17228.75","2509019","843030.1875","306862.28129999997","133825.29689999999","323685.21879999997","NaN","1823628.25","109927.74219999999","1160184.5","NaN","954332.75","433684.25","277826.53129999997","301282.90629999997","314171.5625","456867.78129999997","807367.875","NaN","1803727.25"
"P01024","473457.625","779247.125","NaN","458549.03129999997","NaN","57076.648439999997","79459.375","163162.2813","231359.3438","23495.876950000002","57182.570310000003","245453.9688","666167.8125","289866.90629999997","69290.5","NaN","65223.148439999997","8358.9492190000001","630407.6875","60874.5625","31313.884770000001","119615.2031","68901.976559999996","NaN","373880.9375","76310.734379999994","196013.89060000001","NaN","72338.4375","86410.015629999994","32176.677729999999","18384.835940000001","NaN","23678.29883","241629.89060000001","NaN","174721.14060000001"
